13778856743016444632, 2, 18445545996875303539
13778856743016444633, 2, 210135650711347
13778856743016444634, 2, 18446684330714382616
13778856743016444635, 2, 18446685404456235800
13778856743016444636, 2, 18446340707561031126
13778856743016444637, 2, 129991480275214
13778856743016444638, 2, 1507533456158
13778856743016444639, 2, 18446485267570234798
13778856743016444640, 2, 18446270682414256159
13778856743016444641, 2, 18446008178307869075
13778856743016444642, 2, 191924908510664
13778856743016444643, 2, 18446304990612981091
13778856743016444644, 2, 18446728680546746203
13778856743016444645, 2, 333499915459668
13778856743016444646, 2, 18446595476431008601
13778856743016444647, 2, 18446706913652476496
